# Input,GeneSymbol,GoTermID
abcb1,ABCB1,"GO:1905039, GO:0099040, GO:0140115, GO:0000086, GO:0045332, GO:2001225, GO:0009410, GO:0072089, GO:0046865, GO:0070633, GO:0055085, GO:0150104, GO:1990961, GO:0006805, GO:1990962"
abcb1a,ABCB1A,"GO:1905039, GO:0071475, GO:0071312, GO:0071236, GO:1905231, GO:0071549, GO:0071392, GO:0071217, GO:1905232, GO:0071222, GO:0036146, GO:1904148, GO:0071356, GO:0099040, GO:0007623, GO:0043215, GO:0060856, GO:1990963, GO:0140115, GO:0007565, GO:0000086, GO:0009914, GO:0050892, GO:0007595, GO:0035633, GO:1904057, GO:0045332, GO:0001890, GO:1901529, GO:1904446, GO:2001025, GO:1902396, GO:2001225, GO:1904478, GO:0047484, GO:0097305, GO:0097327, GO:0046686, GO:1905233, GO:1905237, GO:0071548, GO:0032355, GO:0033762, GO:1903416, GO:0001666, GO:1902065, GO:0032496, GO:0010046, GO:0031667, GO:0032570, GO:1905235, GO:0097068, GO:0033189, GO:0033280, GO:0009410, GO:0072089, GO:0046865, GO:0070633, GO:0055085, GO:1990961, GO:1990962"
abcb1b,ABCB1B,"GO:1905039, GO:0071217, GO:0071356, GO:0099040, GO:0014045, GO:0140115, GO:0000086, GO:0007595, GO:0034204, GO:0045332, GO:0015914, GO:0001890, GO:1901529, GO:2001225, GO:0047484, GO:0097327, GO:0046685, GO:0033595, GO:1903416, GO:0001666, GO:0010212, GO:0032496, GO:0010046, GO:0048545, GO:0033189, GO:0009410, GO:0061843, GO:0072089, GO:0070633, GO:0055085, GO:1990961, GO:0042908, GO:1990962"
abcb4,ABCB4,"GO:0032782, GO:1903413, GO:0055088, GO:0006629, GO:0045332, GO:0032376, GO:0061092, GO:2001140, GO:1901557, GO:0051384, GO:0009636, GO:0009410, GO:0055085"
abcc1,ABCC1,"GO:0048708, GO:1905039, GO:0060326, GO:1904646, GO:0034599, GO:0015889, GO:0070729, GO:0098754, GO:0071585, GO:0140115, GO:0010001, GO:0034775, GO:0042167, GO:0006691, GO:0071716, GO:0006869, GO:0015911, GO:0098656, GO:0033700, GO:0045332, GO:0030335, GO:0050729, GO:2001038, GO:0006979, GO:0009410, GO:0030148, GO:0099039, GO:0070633, GO:0055085, GO:0150104, GO:1990961, GO:0006805, GO:0042908, GO:1990962"
abcc2,ABCC2,"GO:0016999, GO:1901086, GO:0015721, GO:0015723, GO:0015722, GO:0045454, GO:0030644, GO:0071549, GO:0071347, GO:0071354, GO:0071222, GO:0071356, GO:0071466, GO:0050787, GO:0007565, GO:0042167, GO:0071716, GO:0015694, GO:0098656, GO:0010629, GO:0015711, GO:0015732, GO:0097327, GO:0046685, GO:0032355, GO:0043627, GO:0033762, GO:0032496, GO:0006979, GO:0048545, GO:0009410, GO:0070327, GO:0070633, GO:0055085, GO:0150104, GO:0042178, GO:1990961, GO:0046618, GO:0006805, GO:0006855, GO:1990962"
abcc8,ABCC8,"GO:0001508, GO:0001678, GO:0071333, GO:0031669, GO:0007565, GO:0061535, GO:0042491, GO:0042472, GO:0060122, GO:0098662, GO:0007613, GO:0016525, GO:1905604, GO:0060253, GO:0046676, GO:0010989, GO:0061855, GO:0050768, GO:0050905, GO:0035774, GO:0043268, GO:1905075, GO:0032760, GO:1900721, GO:1903818, GO:1990573, GO:0071805, GO:0006813, GO:0032868, GO:0032496, GO:0009268, GO:0009410, GO:0010043, GO:0046549, GO:0007605, GO:0055085, GO:0008542"
abi1,ABI1,"GO:0008154, GO:0048813, GO:0072673, GO:0035855, GO:0008285, GO:0001764, GO:0061098, GO:0099527, GO:0030334, GO:0001756, GO:0007169"
ace,ACE,"GO:0006581, GO:0001507, GO:0050435, GO:0060978, GO:0038166, GO:0002003, GO:0031100, GO:0002474, GO:0050482, GO:0097746, GO:0001974, GO:0010815, GO:0071838, GO:1904045, GO:0071333, GO:0007268, GO:0042426, GO:0019695, GO:0042755, GO:0009792, GO:0007565, GO:0060047, GO:0060218, GO:0042447, GO:0042445, GO:0001822, GO:0048286, GO:0030324, GO:0008584, GO:0032943, GO:0090281, GO:1903597, GO:0010629, GO:0046325, GO:0002446, GO:0043171, GO:0006518, GO:0043065, GO:0045777, GO:0050769, GO:2000170, GO:0003084, GO:0045907, GO:0010608, GO:0006508, GO:0060177, GO:0008217, GO:0086091, GO:1902033, GO:0002019, GO:0014910, GO:0048167, GO:0003081, GO:0019229, GO:0071548, GO:0001666, GO:0034616, GO:0032496, GO:0031667, GO:0097066, GO:0009410, GO:0007283, GO:0010814, GO:0042310"
ace2,ACE2,"GO:0001507, GO:0002003, GO:0003051, GO:0097746, GO:0019695, GO:0098670, GO:0060135, GO:0061025, GO:0070373, GO:2000272, GO:0048662, GO:0051957, GO:0060452, GO:1903598, GO:1905737, GO:2000379, GO:0006508, GO:0019065, GO:0046813, GO:1903779, GO:0042127, GO:0001817, GO:0050727, GO:0003081, GO:0022898, GO:0019229, GO:0015827, GO:0046718, GO:0019058"
