# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,9330159F19RIKL,292199,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,A,50518,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,A2ML1,144568,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,A4GALT,53947,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,AACS,65985,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AADACL2FM1,229333,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AADACL2FM2,433597,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AADACL3,126767,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AADACL4FM4,230890,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AAGAB,79719,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,AAMP,14,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AARD,441376,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AARS1,16,Mus musculus,10090,23557971|27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,AARS2,57505,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AARSD1,80755,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AASDHPPT,60496,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,AASS,10157,Mus musculus,10090,27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,AATF,26574,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AATK,9625,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,AB124611,382062,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABAT,18,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA1,19,Mus musculus,10090,23557971|27760801|29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA13,154664,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA14,67928,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA17,381072,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA2,20,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA3,21,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA4,24,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA5,23461,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA7,10347,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA8A,217258,Mus musculus,10090,23557971|27760801
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCA9,10350,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB1,5243,Homo sapiens,9606,33766574
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB1,5243,Mytilus galloprovincialis,29158,25956639
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB11,8647,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB1A,18671,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB1B,18669,Mus musculus,10090,27760801|29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB1B,18669,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB4,5244,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB6,10058,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB7,22,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCB9,23457,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC1,4363,Homo sapiens,9606,33766574
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC1,4363,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC10,89845,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC2,1244,Homo sapiens,9606,34973136
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC3,8714,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC4,10257,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC5,10057,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC6,368,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC8,6833,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCC9,10060,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCD1,215,Homo sapiens,9606,34973136
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCD2,225,Mus musculus,10090,29264374|31298478|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCF2,10061,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCG1,9619,Mus musculus,10090,23557971|27760801|29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCG2,9429,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCG4,64137,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABCG5,64240,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,ABHD10,55347,Mus musculus,10090,35295148
