# Input,ChemicalName,ChemicalID,CasRN,PhenotypeName,PhenotypeID,Interaction,InteractionActions,OrganismName^ID,AnatomyName^ID^SeqNbr,InferenceNetworkTerms,PubMedIDs
13463-67-7,titanium dioxide,C009495,13463-67-7,actin cytoskeleton organization,GO:0030036,[Silver Compounds binds to [Nitrogen binds to titanium dioxide]] which results in decreased actin cytoskeleton organization,affects^binding|decreases^phenotype,Homo sapiens^9606,A549 Cells^D000072283^0,ABI3|ABL1|ABL2|ABR|ABRA|ACTN1|ACTN2|ACTN3|ACTN4|ACTR2|ADAMTS12|ADD1|ADD2|ADRA2A|AGAP2|AMOTL1|ANKRD13D|ANTXR1|ANXA1|ARHGAP22|ARHGAP26|ARHGAP8|ARHGEF10|ARHGEF10L|ARHGEF11|ARHGEF17|ARHGEF18|ASB2|ATP2C1|AUTS2|BCL6|BCR|BRSK2|BTK|CAP1|CAPZA1|CAPZA2|CAPZB|CCDC141|CCR7|CDC42|CDC42BPA|CDC42BPB|CDC42BPG|CDC42EP2|CDH1|CDK5|CFL1|CLDN19|CLDN3|CLN3|CORO1A|CORO1B|CORO1C|CORO2B|CRK|CSRP1|CSRP2|CTTN|CTTNBP2|CXADR|CXCL1|DAAM1|DIAPH1|DIAPH3|DLC1|DLG5|DMD|DMTN|DST|DTNBP1|EHBP1|EHBP1L1|ELMO1|ENAH|EPB41|EPB41L2|EPB41L5|EPS8|EZR|FAM174B|FARP2|FGD1|FGD5|FGD6|FGF10|FGF7|FHL3|FLII|FLNA|FLNB|FLNC|FMN2|FMNL1|FMNL2|FMNL3|FOXJ1|FSCN1|FSCN2|GAS2L3|GRB2|GRID2IP|GSN|INF2|INPP5K|INSRR|IQSEC1|IQSEC2|IQSEC3|ITPKA|KANK1|KIT|KLHL1|KRAS|LDB3|LIMK1|LIMK2|LIX1L|LPIN1|LPXN|MED18|MICALL2|MINK1|MIR143|MKLN1|MON2|MRAS|MRTFB|MTSS1|MYH10|MYH9|NANOG|NF2|NHERF1|NISCH|NPHP4|NPHS2|NRAP|NUAK2|OPHN1|OSMR|PAFAH1B1|PALLD|PDCL3|PDGFA|PDGFB|PDLIM1|PDLIM2|PDLIM3|PDLIM4|PDLIM5|PDLIM7|PDPK1|PFN1|PFN2|PHACTR1|PHACTR2|PHACTR3|PHPT1|PIK3CA|PIP5K1A|PIP5K1C|PLEC|PLEK|PLEK2|PMP22|POF1B|PPP1R9B|PRIMA1|PRKG1|PRR5|PTEN|PTK7|PTPN1|RAC1|RAC2|RAC3|RAN|RAP2A|RASA1|RFLNB|RHOA|RHOG|RHOJ|RHOQ|RHOU|RICTOR|RND3|ROCK1|ROCK2|S100A9|S1PR1|S1PR2|SDCBP|SEPTIN9|SF3A3|SFRP1|SH2B2|SHROOM3|SHROOM4|SIPA1L1|SMTN|SMTNL2|SPECC1|SPECC1L|SPIRE2|SPON2|SPTA1|SPTAN1|SPTB|SPTBN1|SPTBN2|SPTBN4|SRF|SSH1|SSH2|SSH3|SSX2IP|STARD13|STARD8|TAGLN2|TAOK2|TBCK|TESK1|THSD7B|TJP1|TMOD3|TMSB10|TNIK|TNXB|TRIM45|TRIO|TRIP10|TRPV4|TYROBP|UTRN|VASP|WASF1|WASF2|WASF3|WASL|WDR1|WIPF1|XIRP1|XIRP2,30711708
13463-67-7,titanium dioxide,C009495,13463-67-7,actin cytoskeleton organization,GO:0030036,[Silver Compounds binds to [Nitrogen binds to titanium dioxide]] which results in decreased actin cytoskeleton organization,affects^binding|decreases^phenotype,Homo sapiens^9606,Cell Line^D002460^1|Keratinocytes^D015603^0,ABI3|ABL1|ABL2|ABR|ABRA|ACTN1|ACTN2|ACTN3|ACTN4|ACTR2|ADAMTS12|ADD1|ADD2|ADRA2A|AGAP2|AMOTL1|ANKRD13D|ANTXR1|ANXA1|ARHGAP22|ARHGAP26|ARHGAP8|ARHGEF10|ARHGEF10L|ARHGEF11|ARHGEF17|ARHGEF18|ASB2|ATP2C1|AUTS2|BCL6|BCR|BRSK2|BTK|CAP1|CAPZA1|CAPZA2|CAPZB|CCDC141|CCR7|CDC42|CDC42BPA|CDC42BPB|CDC42BPG|CDC42EP2|CDH1|CDK5|CFL1|CLDN19|CLDN3|CLN3|CORO1A|CORO1B|CORO1C|CORO2B|CRK|CSRP1|CSRP2|CTTN|CTTNBP2|CXADR|CXCL1|DAAM1|DIAPH1|DIAPH3|DLC1|DLG5|DMD|DMTN|DST|DTNBP1|EHBP1|EHBP1L1|ELMO1|ENAH|EPB41|EPB41L2|EPB41L5|EPS8|EZR|FAM174B|FARP2|FGD1|FGD5|FGD6|FGF10|FGF7|FHL3|FLII|FLNA|FLNB|FLNC|FMN2|FMNL1|FMNL2|FMNL3|FOXJ1|FSCN1|FSCN2|GAS2L3|GRB2|GRID2IP|GSN|INF2|INPP5K|INSRR|IQSEC1|IQSEC2|IQSEC3|ITPKA|KANK1|KIT|KLHL1|KRAS|LDB3|LIMK1|LIMK2|LIX1L|LPIN1|LPXN|MED18|MICALL2|MINK1|MIR143|MKLN1|MON2|MRAS|MRTFB|MTSS1|MYH10|MYH9|NANOG|NF2|NHERF1|NISCH|NPHP4|NPHS2|NRAP|NUAK2|OPHN1|OSMR|PAFAH1B1|PALLD|PDCL3|PDGFA|PDGFB|PDLIM1|PDLIM2|PDLIM3|PDLIM4|PDLIM5|PDLIM7|PDPK1|PFN1|PFN2|PHACTR1|PHACTR2|PHACTR3|PHPT1|PIK3CA|PIP5K1A|PIP5K1C|PLEC|PLEK|PLEK2|PMP22|POF1B|PPP1R9B|PRIMA1|PRKG1|PRR5|PTEN|PTK7|PTPN1|RAC1|RAC2|RAC3|RAN|RAP2A|RASA1|RFLNB|RHOA|RHOG|RHOJ|RHOQ|RHOU|RICTOR|RND3|ROCK1|ROCK2|S100A9|S1PR1|S1PR2|SDCBP|SEPTIN9|SF3A3|SFRP1|SH2B2|SHROOM3|SHROOM4|SIPA1L1|SMTN|SMTNL2|SPECC1|SPECC1L|SPIRE2|SPON2|SPTA1|SPTAN1|SPTB|SPTBN1|SPTBN2|SPTBN4|SRF|SSH1|SSH2|SSH3|SSX2IP|STARD13|STARD8|TAGLN2|TAOK2|TBCK|TESK1|THSD7B|TJP1|TMOD3|TMSB10|TNIK|TNXB|TRIM45|TRIO|TRIP10|TRPV4|TYROBP|UTRN|VASP|WASF1|WASF2|WASF3|WASL|WDR1|WIPF1|XIRP1|XIRP2,30711708
13463-67-7,titanium dioxide,C009495,13463-67-7,actin cytoskeleton organization,GO:0030036,[Silver Compounds binds to titanium dioxide] which results in decreased actin cytoskeleton organization,affects^binding|decreases^phenotype,Homo sapiens^9606,A549 Cells^D000072283^0,ABI3|ABL1|ABL2|ABR|ABRA|ACTN1|ACTN2|ACTN3|ACTN4|ACTR2|ADAMTS12|ADD1|ADD2|ADRA2A|AGAP2|AMOTL1|ANKRD13D|ANTXR1|ANXA1|ARHGAP22|ARHGAP26|ARHGAP8|ARHGEF10|ARHGEF10L|ARHGEF11|ARHGEF17|ARHGEF18|ASB2|ATP2C1|AUTS2|BCL6|BCR|BRSK2|BTK|CAP1|CAPZA1|CAPZA2|CAPZB|CCDC141|CCR7|CDC42|CDC42BPA|CDC42BPB|CDC42BPG|CDC42EP2|CDH1|CDK5|CFL1|CLDN19|CLDN3|CLN3|CORO1A|CORO1B|CORO1C|CORO2B|CRK|CSRP1|CSRP2|CTTN|CTTNBP2|CXADR|CXCL1|DAAM1|DIAPH1|DIAPH3|DLC1|DLG5|DMD|DMTN|DST|DTNBP1|EHBP1|EHBP1L1|ELMO1|ENAH|EPB41|EPB41L2|EPB41L5|EPS8|EZR|FAM174B|FARP2|FGD1|FGD5|FGD6|FGF10|FGF7|FHL3|FLII|FLNA|FLNB|FLNC|FMN2|FMNL1|FMNL2|FMNL3|FOXJ1|FSCN1|FSCN2|GAS2L3|GRB2|GRID2IP|GSN|INF2|INPP5K|INSRR|IQSEC1|IQSEC2|IQSEC3|ITPKA|KANK1|KIT|KLHL1|KRAS|LDB3|LIMK1|LIMK2|LIX1L|LPIN1|LPXN|MED18|MICALL2|MINK1|MIR143|MKLN1|MON2|MRAS|MRTFB|MTSS1|MYH10|MYH9|NANOG|NF2|NHERF1|NISCH|NPHP4|NPHS2|NRAP|NUAK2|OPHN1|OSMR|PAFAH1B1|PALLD|PDCL3|PDGFA|PDGFB|PDLIM1|PDLIM2|PDLIM3|PDLIM4|PDLIM5|PDLIM7|PDPK1|PFN1|PFN2|PHACTR1|PHACTR2|PHACTR3|PHPT1|PIK3CA|PIP5K1A|PIP5K1C|PLEC|PLEK|PLEK2|PMP22|POF1B|PPP1R9B|PRIMA1|PRKG1|PRR5|PTEN|PTK7|PTPN1|RAC1|RAC2|RAC3|RAN|RAP2A|RASA1|RFLNB|RHOA|RHOG|RHOJ|RHOQ|RHOU|RICTOR|RND3|ROCK1|ROCK2|S100A9|S1PR1|S1PR2|SDCBP|SEPTIN9|SF3A3|SFRP1|SH2B2|SHROOM3|SHROOM4|SIPA1L1|SMTN|SMTNL2|SPECC1|SPECC1L|SPIRE2|SPON2|SPTA1|SPTAN1|SPTB|SPTBN1|SPTBN2|SPTBN4|SRF|SSH1|SSH2|SSH3|SSX2IP|STARD13|STARD8|TAGLN2|TAOK2|TBCK|TESK1|THSD7B|TJP1|TMOD3|TMSB10|TNIK|TNXB|TRIM45|TRIO|TRIP10|TRPV4|TYROBP|UTRN|VASP|WASF1|WASF2|WASF3|WASL|WDR1|WIPF1|XIRP1|XIRP2,30711708
13463-67-7,titanium dioxide,C009495,13463-67-7,actin cytoskeleton organization,GO:0030036,[Silver Compounds binds to titanium dioxide] which results in decreased actin cytoskeleton organization,affects^binding|decreases^phenotype,Homo sapiens^9606,Cell Line^D002460^1|Keratinocytes^D015603^0,ABI3|ABL1|ABL2|ABR|ABRA|ACTN1|ACTN2|ACTN3|ACTN4|ACTR2|ADAMTS12|ADD1|ADD2|ADRA2A|AGAP2|AMOTL1|ANKRD13D|ANTXR1|ANXA1|ARHGAP22|ARHGAP26|ARHGAP8|ARHGEF10|ARHGEF10L|ARHGEF11|ARHGEF17|ARHGEF18|ASB2|ATP2C1|AUTS2|BCL6|BCR|BRSK2|BTK|CAP1|CAPZA1|CAPZA2|CAPZB|CCDC141|CCR7|CDC42|CDC42BPA|CDC42BPB|CDC42BPG|CDC42EP2|CDH1|CDK5|CFL1|CLDN19|CLDN3|CLN3|CORO1A|CORO1B|CORO1C|CORO2B|CRK|CSRP1|CSRP2|CTTN|CTTNBP2|CXADR|CXCL1|DAAM1|DIAPH1|DIAPH3|DLC1|DLG5|DMD|DMTN|DST|DTNBP1|EHBP1|EHBP1L1|ELMO1|ENAH|EPB41|EPB41L2|EPB41L5|EPS8|EZR|FAM174B|FARP2|FGD1|FGD5|FGD6|FGF10|FGF7|FHL3|FLII|FLNA|FLNB|FLNC|FMN2|FMNL1|FMNL2|FMNL3|FOXJ1|FSCN1|FSCN2|GAS2L3|GRB2|GRID2IP|GSN|INF2|INPP5K|INSRR|IQSEC1|IQSEC2|IQSEC3|ITPKA|KANK1|KIT|KLHL1|KRAS|LDB3|LIMK1|LIMK2|LIX1L|LPIN1|LPXN|MED18|MICALL2|MINK1|MIR143|MKLN1|MON2|MRAS|MRTFB|MTSS1|MYH10|MYH9|NANOG|NF2|NHERF1|NISCH|NPHP4|NPHS2|NRAP|NUAK2|OPHN1|OSMR|PAFAH1B1|PALLD|PDCL3|PDGFA|PDGFB|PDLIM1|PDLIM2|PDLIM3|PDLIM4|PDLIM5|PDLIM7|PDPK1|PFN1|PFN2|PHACTR1|PHACTR2|PHACTR3|PHPT1|PIK3CA|PIP5K1A|PIP5K1C|PLEC|PLEK|PLEK2|PMP22|POF1B|PPP1R9B|PRIMA1|PRKG1|PRR5|PTEN|PTK7|PTPN1|RAC1|RAC2|RAC3|RAN|RAP2A|RASA1|RFLNB|RHOA|RHOG|RHOJ|RHOQ|RHOU|RICTOR|RND3|ROCK1|ROCK2|S100A9|S1PR1|S1PR2|SDCBP|SEPTIN9|SF3A3|SFRP1|SH2B2|SHROOM3|SHROOM4|SIPA1L1|SMTN|SMTNL2|SPECC1|SPECC1L|SPIRE2|SPON2|SPTA1|SPTAN1|SPTB|SPTBN1|SPTBN2|SPTBN4|SRF|SSH1|SSH2|SSH3|SSX2IP|STARD13|STARD8|TAGLN2|TAOK2|TBCK|TESK1|THSD7B|TJP1|TMOD3|TMSB10|TNIK|TNXB|TRIM45|TRIO|TRIP10|TRPV4|TYROBP|UTRN|VASP|WASF1|WASF2|WASF3|WASL|WDR1|WIPF1|XIRP1|XIRP2,30711708
13463-67-7,titanium dioxide,C009495,13463-67-7,activation of protein kinase B activity,GO:0032148,[Ferrosoferric Oxide binds to titanium dioxide] which results in increased activation of protein kinase B activity,affects^binding|increases^phenotype,Homo sapiens^9606,"Cell Line, Tumor^D045744^1|Hepatocytes^D022781^0",ADRA2A|ADRA2B|ADRA2C|ANG2|ANG3|ANG4|FGF1|GAS6|INS1|INSR|ITGB1BP1|NOTCH2|NTRK3|PDPK1|PPIA|PRKCZ|SLC1A1|WNT5A,30098274
13463-67-7,titanium dioxide,C009495,13463-67-7,alkaline phosphatase activity,GO:0004035,[Alloxan results in increased susceptibility to titanium dioxide] which results in increased alkaline phosphatase activity,increases^phenotype|increases^response to substance,Rattus norvegicus^10116,Serum^D044967^0,AKP3|ALPI|ALPL|CILP2,23873220
13463-67-7,titanium dioxide,C009495,13463-67-7,alkaline phosphatase activity,GO:0004035,titanium dioxide results in increased alkaline phosphatase activity,increases^phenotype,Rattus norvegicus^10116,Lung^D008168^0,AKP3|ALPI|ALPL|CILP2,29774637
13463-67-7,titanium dioxide,C009495,13463-67-7,alkaline phosphatase activity,GO:0004035,titanium dioxide results in increased alkaline phosphatase activity,increases^phenotype,Rattus norvegicus^10116,Lung^D008168^0|Pleural Cavity^D035422^1,AKP3|ALPI|ALPL|CILP2,29774637
13463-67-7,titanium dioxide,C009495,13463-67-7,apoptotic process,GO:0006915,Glycyrrhizic Acid inhibits the reaction [titanium dioxide results in increased apoptotic process],decreases^reaction|increases^phenotype,Rattus norvegicus^10116,Liver^D008099^0,AATF|AATK|ACIN1|ADA|ADAM15|ADAMTS20|ADAMTSL4|ADAR|ADORA2A|ADRA1A|AFP|AGAP2|AHCYL1|AHR|AIFM1|AIFM2|AIMP2|AKAP1|AKTIP|ALDH1A1|ALMS1|APAF1|APC|API5|APIP|APLP1|ARHGEF6|ATCAY|ATF2|ATG5|ATG7|AURKA|AXIN1|BAD|BAG1|BAG4|BAG6|BAX|BBC3|BCAP29|BCAP31|BCL10|BCL11B|BCL2|BCL2L1|BCL2L11|BCL2L13|BCL2L15|BCL2L2|BCL7B|BCLAF1|BECN1|BEX2|BID|BIK|BIRC2|BIRC3|BIRC5|BIRC6|BMF|BNIP1|BNIP2|BNIP3|BNIP3L|BOK|BRAT1|BRMS1|BTC|BTK|BUB1|BUB1B|C1D|C1QBP|CADM1|CASP1|CASP12|CASP14|CASP3|CASP6|CASP7|CASP8|CASP9|CCAR1|CCN1|CCR5|CD14|CD2|CD27|CD2AP|CD47|CD5L|CDCA7|CDK1|CDK11B|CDK5|CDKN1B|CDKN2A|CDKN2B|CFLAR|CHAC1|CHEK1|CHI3L1|CHIA|CHST11|CIAPIN1|CIB1|CIDEA|CIDEC|CITED1|CKAP2|CLPTM1L|COL6A1|COMP|CRYAA|CSNK2A1|CSRNP1|CSRNP2|CTNNA1|CTNNBL1|CTSC|CTSH|CUL1|CUL7|CXCR3|CXCR4|CYCS|CYFIP2|DAB2|DAD1|DAP|DAP3|DAPK1|DAPK2|DAPK3|DAXX|DBNDD2|DCC|DDB1|DDIT3|DDIT4|DDX41|DEDD|DEDD2|DFFA|DIABLO|DIAP1|DIO3|DLC1|DMD|DNAAF10|DNASE2A|DOCK1|DPF1|DPP8|DYNLL1|EAF2|EFNA5|EGLN3|EI24|ELMO1|ELMO2|EMP2|EP300|ERRFI1|ESPL1|EVA1A|FADD|FAF1|FAIM|FAM32A|FAM3B|FAS|FASTK|FCHSD1|FEM1B|FGF13|FGF4|FGF8|FGFR2|FGFR3|FHAD1|FKBP8|FOXO1|FXR1|G2E3|GADD45A|GADD45B|GADD45G|GALNT3|GAPDH|GAS1|GAS2|GAS6|GDF6|GHITM|GLI3|GML|GPR65|GPX1|GPX4|GRAMD4|GRK5|GULP1|GZMA|GZMB|HAND2|HCAR2|HECW2|HIF1A|HIP1|HIPK3|HNF1B|HRK|HTATIP2|HTT|IAPP|ID1|IER3|IFI27|IFI27L2A|IFIT2|IFNG|IFT57|IGFBP3|IL17A|IL19|IL1A|IL1B|IL24|IL2RA|INPP5D|INPPL1|INSL6|IRAK3|IRF1|IRF3|ITGB2|ITGB3BP|JADE1|JAK2|JUN|KANK2|KAT5|KCNIP3|KCNJ11|KCNJ8|KIF1B|KITL|KLF11|KMT2A|KRT20|LCN2|LGALS1|LGALS7|LHX3|LHX4|LRRC27|MADD|MAEL|MAGEH1|MAL|MALT1|MAP1S|MAP2K7|MAP3K10|MAP3K7|MAP3K9|MAPK1|MAPK14|MAPK3|MCL1|MCM2|MDM2|MECOM|MEF2A|MEF2C|MELK|METTL1|MFN2|MMP9|MOAP1|MRPL41|MRPS30|MTCH1|MTFP1|MUL1|MX1|MYCS|MYD88|MYDGF|MZB1|NAIP5|NAIP7|NCKAP1|NEDD4|NEK6|NFKB1|NGFR|NHLH2|NISCH|NKX2-5|NKX3-1|NLRC4|NLRP3|NOC2L|NOD1|NOTCH1|NOTCH2|NR2E1|NR3C1|NR4A1|NSG1|NTN1|NUAK2|OGT|PAK2|PAK4|PAK5|PAK6|PARP1|PAX3|PCDHA9|PCSK9|PDCD1|PDCD10|PDCD2|PDCD5|PDCD6|PDCD6IP|PDCD7|PDCL3|PEG3|PERP|PFKFB3|PGLYRP1|PHLDA1|PHLDA2|PHLDA3|PHLPP1|PIM1|PIM3|PKN2|PLA2G12A|PLAGL1|PLEKHF1|PLK3|PLSCR1|PMAIP1|PML|PMP22|POU4F2|PPARD|PPIA|PPIF|PPP1R13L|PPP1R15A|PRELID1|PRF1|PRICKLE1|PRKCA|PRKCB|PRKCD|PRKCE|PRKD1|PROP1|PRUNE2|PSME3|PTEN|PTK2B|PYCARD|RABEP1|RAD21|RAF1|RALB|RARB|RARG|RASSF5|RASSF7|RB1|RB1CC1|RBM14|RBM25|RBM5|RFFL|RFK|RHBDD1|RHOB|RIPK1|RIPK2|RIPK3|RNF144B|RNF152|RNF216|RNF34|ROCK1|RPL11|RPS6KB1|RRAGA|RRP1B|RTKN|RTN3|RTN4|RYBP|S100A14|S100A8|S100A9|SAV1|SEMA6A|SEPTIN4|SERPINA3G|SFRP2|SFRP5|SGK1|SGMS1|SH3KBP1|SHB|SHC4|SHF|SIAH2|SIVA1|SIX1|SLC40A1|SLC5A11|SLC5A8|SLK|SLTM|SMAD3|SMNDC1|SMO|SOD1|SOX9|SP110|SPINK2|SQSTM1|SRA1|STIL|STK17B|STK3|STK4|STXBP4|SUDS3|SYCP2|TAOK2|TAX1BP1|TBX2|TCHP|TCIRG1|TCTN3|TFPT|TGFB1|TGFBR1|THBS1|THOC1|THOC6|TIAL1|TIMM50|TLR2|TMBIM4|TMBIM6|TMEM14A|TMEM214|TMF1|TNFAIP1|TNFAIP3|TNFRSF11A|TNFRSF12A|TNFRSF18|TNFRSF19|TNFRSF1A|TNFRSF1B|TNFRSF21|TNFRSF25|TNFRSF4|TNFRSF9|TNFSF10|TNFSF12|TNFSF14|TNIP2|TOX3|TP53|TPX2|TRADD|TRAF1|TRAF2|TRAF3|TRAF4|TRAF7|TRAIP|TRIM39|TRP53|TRP53INP1|TRP63|TRPV2|TUB|TUBB6|UBE2B|UBE2D3|UBE2Z|UNC5A|UNC5B|UNC5C|UNC5D|UXT|VDAC1|VEGFA|VIL1|WNT11|WNT7A|WT1|WWOX|XAF1|XIAP|XKR4|XKR8|YBX3|ZBP1|ZBTB16|ZC3H12A|ZC3H8|ZFP369|ZFP36L1|ZFP385A|ZMAT3|ZSWIM2,25016076
13463-67-7,titanium dioxide,C009495,13463-67-7,apoptotic process,GO:0006915,titanium dioxide results in increased apoptotic process,increases^phenotype,Homo sapiens^9606,Blood Cells^D001773^0,AATF|AATK|ACIN1|ADA|ADAM15|ADAMTS20|ADAMTSL4|ADAR|ADORA2A|ADRA1A|AFP|AGAP2|AHCYL1|AHR|AIFM1|AIFM2|AIMP2|AKAP1|AKTIP|ALDH1A1|ALMS1|APAF1|APC|API5|APIP|APLP1|ARHGEF6|ATCAY|ATF2|ATG5|ATG7|AURKA|AXIN1|BAD|BAG1|BAG4|BAG6|BAX|BBC3|BCAP29|BCAP31|BCL10|BCL11B|BCL2|BCL2L1|BCL2L11|BCL2L13|BCL2L15|BCL2L2|BCL7B|BCLAF1|BECN1|BEX2|BID|BIK|BIRC2|BIRC3|BIRC5|BIRC6|BMF|BNIP1|BNIP2|BNIP3|BNIP3L|BOK|BRAT1|BRMS1|BTC|BTK|BUB1|BUB1B|C1D|C1QBP|CADM1|CASP1|CASP12|CASP14|CASP3|CASP6|CASP7|CASP8|CASP9|CCAR1|CCN1|CCR5|CD14|CD2|CD27|CD2AP|CD47|CD5L|CDCA7|CDK1|CDK11B|CDK5|CDKN1B|CDKN2A|CDKN2B|CFLAR|CHAC1|CHEK1|CHI3L1|CHIA|CHST11|CIAPIN1|CIB1|CIDEA|CIDEC|CITED1|CKAP2|CLPTM1L|COL6A1|COMP|CRYAA|CSNK2A1|CSRNP1|CSRNP2|CTNNA1|CTNNBL1|CTSC|CTSH|CUL1|CUL7|CXCR3|CXCR4|CYCS|CYFIP2|DAB2|DAD1|DAP|DAP3|DAPK1|DAPK2|DAPK3|DAXX|DBNDD2|DCC|DDB1|DDIT3|DDIT4|DDX41|DEDD|DEDD2|DFFA|DIABLO|DIAP1|DIO3|DLC1|DMD|DNAAF10|DNASE2A|DOCK1|DPF1|DPP8|DYNLL1|EAF2|EFNA5|EGLN3|EI24|ELMO1|ELMO2|EMP2|EP300|ERRFI1|ESPL1|EVA1A|FADD|FAF1|FAIM|FAM32A|FAM3B|FAS|FASTK|FCHSD1|FEM1B|FGF13|FGF4|FGF8|FGFR2|FGFR3|FHAD1|FKBP8|FOXO1|FXR1|G2E3|GADD45A|GADD45B|GADD45G|GALNT3|GAPDH|GAS1|GAS2|GAS6|GDF6|GHITM|GLI3|GML|GPR65|GPX1|GPX4|GRAMD4|GRK5|GULP1|GZMA|GZMB|HAND2|HCAR2|HECW2|HIF1A|HIP1|HIPK3|HNF1B|HRK|HTATIP2|HTT|IAPP|ID1|IER3|IFI27|IFI27L2A|IFIT2|IFNG|IFT57|IGFBP3|IL17A|IL19|IL1A|IL1B|IL24|IL2RA|INPP5D|INPPL1|INSL6|IRAK3|IRF1|IRF3|ITGB2|ITGB3BP|JADE1|JAK2|JUN|KANK2|KAT5|KCNIP3|KCNJ11|KCNJ8|KIF1B|KITL|KLF11|KMT2A|KRT20|LCN2|LGALS1|LGALS7|LHX3|LHX4|LRRC27|MADD|MAEL|MAGEH1|MAL|MALT1|MAP1S|MAP2K7|MAP3K10|MAP3K7|MAP3K9|MAPK1|MAPK14|MAPK3|MCL1|MCM2|MDM2|MECOM|MEF2A|MEF2C|MELK|METTL1|MFN2|MMP9|MOAP1|MRPL41|MRPS30|MTCH1|MTFP1|MUL1|MX1|MYCS|MYD88|MYDGF|MZB1|NAIP5|NAIP7|NCKAP1|NEDD4|NEK6|NFKB1|NGFR|NHLH2|NISCH|NKX2-5|NKX3-1|NLRC4|NLRP3|NOC2L|NOD1|NOTCH1|NOTCH2|NR2E1|NR3C1|NR4A1|NSG1|NTN1|NUAK2|OGT|PAK2|PAK4|PAK5|PAK6|PARP1|PAX3|PCDHA9|PCSK9|PDCD1|PDCD10|PDCD2|PDCD5|PDCD6|PDCD6IP|PDCD7|PDCL3|PEG3|PERP|PFKFB3|PGLYRP1|PHLDA1|PHLDA2|PHLDA3|PHLPP1|PIM1|PIM3|PKN2|PLA2G12A|PLAGL1|PLEKHF1|PLK3|PLSCR1|PMAIP1|PML|PMP22|POU4F2|PPARD|PPIA|PPIF|PPP1R13L|PPP1R15A|PRELID1|PRF1|PRICKLE1|PRKCA|PRKCB|PRKCD|PRKCE|PRKD1|PROP1|PRUNE2|PSME3|PTEN|PTK2B|PYCARD|RABEP1|RAD21|RAF1|RALB|RARB|RARG|RASSF5|RASSF7|RB1|RB1CC1|RBM14|RBM25|RBM5|RFFL|RFK|RHBDD1|RHOB|RIPK1|RIPK2|RIPK3|RNF144B|RNF152|RNF216|RNF34|ROCK1|RPL11|RPS6KB1|RRAGA|RRP1B|RTKN|RTN3|RTN4|RYBP|S100A14|S100A8|S100A9|SAV1|SEMA6A|SEPTIN4|SERPINA3G|SFRP2|SFRP5|SGK1|SGMS1|SH3KBP1|SHB|SHC4|SHF|SIAH2|SIVA1|SIX1|SLC40A1|SLC5A11|SLC5A8|SLK|SLTM|SMAD3|SMNDC1|SMO|SOD1|SOX9|SP110|SPINK2|SQSTM1|SRA1|STIL|STK17B|STK3|STK4|STXBP4|SUDS3|SYCP2|TAOK2|TAX1BP1|TBX2|TCHP|TCIRG1|TCTN3|TFPT|TGFB1|TGFBR1|THBS1|THOC1|THOC6|TIAL1|TIMM50|TLR2|TMBIM4|TMBIM6|TMEM14A|TMEM214|TMF1|TNFAIP1|TNFAIP3|TNFRSF11A|TNFRSF12A|TNFRSF18|TNFRSF19|TNFRSF1A|TNFRSF1B|TNFRSF21|TNFRSF25|TNFRSF4|TNFRSF9|TNFSF10|TNFSF12|TNFSF14|TNIP2|TOX3|TP53|TPX2|TRADD|TRAF1|TRAF2|TRAF3|TRAF4|TRAF7|TRAIP|TRIM39|TRP53|TRP53INP1|TRP63|TRPV2|TUB|TUBB6|UBE2B|UBE2D3|UBE2Z|UNC5A|UNC5B|UNC5C|UNC5D|UXT|VDAC1|VEGFA|VIL1|WNT11|WNT7A|WT1|WWOX|XAF1|XIAP|XKR4|XKR8|YBX3|ZBP1|ZBTB16|ZC3H12A|ZC3H8|ZFP369|ZFP36L1|ZFP385A|ZMAT3|ZSWIM2,27225715
