# Input,DiseaseName,DiseaseID,GeneSymbol,GeneID,DiseaseCategories,DirectEvidence,OmimIDs,PubMedIDs
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,ACE,1636,Cardiovascular disease|Pathology (process),marker/mechanism,,15331425
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,AGT,183,Cardiovascular disease|Pathology (process),marker/mechanism|therapeutic,,1654493|2535056
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,AVP,551,Cardiovascular disease|Pathology (process),marker/mechanism,,6983645
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,CACNA1C,775,Cardiovascular disease|Pathology (process),marker/mechanism,,15454078
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,CNNM2,54805,Cardiovascular disease|Pathology (process),marker/mechanism,,23027747
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,EDN1,1906,Cardiovascular disease|Pathology (process),marker/mechanism,,12011762|15838369
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,ESR2,2100,Cardiovascular disease|Pathology (process),marker/mechanism,,22166976
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,GJA1,2697,Cardiovascular disease|Pathology (process),marker/mechanism,,18003637|18077386
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,GYG1,2992,Cardiovascular disease|Pathology (process),marker/mechanism,,20357282
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,HTR4,3360,Cardiovascular disease|Pathology (process),marker/mechanism,,9806222
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,KCNH2,3757,Cardiovascular disease|Pathology (process),marker/mechanism,,14678746|15673388|18250272
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,KCNJ2,3759,Cardiovascular disease|Pathology (process),marker/mechanism,,17399643|17546530
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,KCNN2,3781,Cardiovascular disease|Pathology (process),therapeutic,,32909839|33887967
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,KNG1,3827,Cardiovascular disease|Pathology (process),therapeutic,,2535056
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,OPRK1,4986,Cardiovascular disease|Pathology (process),therapeutic,,16995444
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,OPRL1,4987,Cardiovascular disease|Pathology (process),therapeutic,,16995444
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,PPP1R1A,5502,Cardiovascular disease|Pathology (process),marker/mechanism,,20071777
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,PTGS2,5743,Cardiovascular disease|Pathology (process),marker/mechanism,,19376970
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,RYR2,6262,Cardiovascular disease|Pathology (process),marker/mechanism,115000,
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,SGO1,151648,Cardiovascular disease|Pathology (process),marker/mechanism,,25282101
mesh:d001145,"Arrhythmias, Cardiac",MESH:D001145,TRH,7200,Cardiovascular disease|Pathology (process),marker/mechanism,,6813757
mesh:d001791,Blood Platelet Disorders,MESH:D001791,FERMT3,83706,Blood disease,marker/mechanism,,18278053
mesh:d001791,Blood Platelet Disorders,MESH:D001791,PLA2G4A,5321,Blood disease,marker/mechanism,,18451993
mesh:d001791,Blood Platelet Disorders,MESH:D001791,STXBP2,6813,Blood disease,marker/mechanism,,30696774
mesh:d001791,Blood Platelet Disorders,MESH:D001791,TBXA2R,6915,Blood disease,marker/mechanism,,19828703|7929844
mesh:d001835,Body Weight,MESH:D001835,BDNF,627,Signs and symptoms,marker/mechanism,,22344219|22344221
mesh:d001835,Body Weight,MESH:D001835,CDKAL1,54901,Signs and symptoms,marker/mechanism,,22344219|22344221
mesh:d001835,Body Weight,MESH:D001835,FTO,79068,Signs and symptoms,marker/mechanism,,22344219|22344221
mesh:d001835,Body Weight,MESH:D001835,GIPR,2696,Signs and symptoms,marker/mechanism,,22344221
mesh:d001835,Body Weight,MESH:D001835,GNPDA2,132789,Signs and symptoms,marker/mechanism,,22344219
