# Input,GeneSymbol,GeneID,Ontology,GoTermName,GoTermID
krt15,KRT15,3866,Biological Process,biological_process,GO:0008150
krt15,KRT15,3866,Biological Process,epidermis development,GO:0008544
krt15,KRT15,3866,Biological Process,epithelial cell differentiation,GO:0030855
krt15,KRT15,3866,Biological Process,intermediate filament-based process,GO:0045103
krt15,KRT15,3866,Biological Process,intermediate filament organization,GO:0045109
krt18,KRT18,3875,Biological Process,anatomical structure morphogenesis,GO:0009653
krt18,KRT18,3875,Biological Process,cell-cell adhesion,GO:0098609
krt18,KRT18,3875,Biological Process,cholangiocyte apoptotic process,GO:1902488
krt18,KRT18,3875,Biological Process,extrinsic apoptotic signaling pathway,GO:0097191
krt18,KRT18,3875,Biological Process,Golgi to plasma membrane protein transport,GO:0043001
krt18,KRT18,3875,Biological Process,hepatocyte apoptotic process,GO:0097284
krt18,KRT18,3875,Biological Process,hepatocyte differentiation,GO:0070365
krt18,KRT18,3875,Biological Process,intermediate filament cytoskeleton organization,GO:0045104
krt18,KRT18,3875,Biological Process,mesenchymal stem cell differentiation,GO:0072497
krt18,KRT18,3875,Biological Process,negative regulation of apoptotic process,GO:0043066
krt18,KRT18,3875,Biological Process,response to fructose,GO:0009750
krt18,KRT18,3875,Biological Process,response to nutrient levels,GO:0031667
krt18,KRT18,3875,Biological Process,tumor necrosis factor-mediated signaling pathway,GO:0033209
krt19,KRT19,3880,Biological Process,cell differentiation involved in embryonic placenta development,GO:0060706
krt19,KRT19,3880,Biological Process,epithelial cell differentiation,GO:0030855
krt19,KRT19,3880,Biological Process,intermediate filament organization,GO:0045109
krt19,KRT19,3880,Biological Process,Notch signaling pathway,GO:0007219
krt19,KRT19,3880,Biological Process,response to estrogen,GO:0043627
krt19,KRT19,3880,Biological Process,sarcomere organization,GO:0045214
krt5,KRT5,3852,Biological Process,biological_process,GO:0008150
krt5,KRT5,3852,Biological Process,epidermis development,GO:0008544
krt5,KRT5,3852,Biological Process,fin regeneration,GO:0031101
krt5,KRT5,3852,Biological Process,intermediate filament organization,GO:0045109
krt5,KRT5,3852,Biological Process,intermediate filament polymerization,GO:0045107
krt5,KRT5,3852,Biological Process,keratinization,GO:0031424
krt5,KRT5,3852,Biological Process,regulation of cell migration,GO:0030334
krt5,KRT5,3852,Biological Process,regulation of protein localization,GO:0032880
krt5,KRT5,3852,Biological Process,response to mechanical stimulus,GO:0009612
krt8,KRT8,3856,Biological Process,cell differentiation involved in embryonic placenta development,GO:0060706
krt8,KRT8,3856,Biological Process,extrinsic apoptotic signaling pathway,GO:0097191
krt8,KRT8,3856,Biological Process,hepatocyte apoptotic process,GO:0097284
krt8,KRT8,3856,Biological Process,intermediate filament organization,GO:0045109
krt8,KRT8,3856,Biological Process,keratinization,GO:0031424
krt8,KRT8,3856,Biological Process,response to hydrostatic pressure,GO:0051599
krt8,KRT8,3856,Biological Process,response to other organism,GO:0051707
krt8,KRT8,3856,Biological Process,sarcomere organization,GO:0045214
krt8,KRT8,3856,Biological Process,tumor necrosis factor-mediated signaling pathway,GO:0033209
ksr2,KSR2,283455,Biological Process,calcium-mediated signaling,GO:0019722
ksr2,KSR2,283455,Biological Process,chromatin remodeling,GO:0006338
ksr2,KSR2,283455,Biological Process,MAPK cascade,GO:0000165
ksr2,KSR2,283455,Biological Process,positive regulation of cold-induced thermogenesis,GO:0120162
ksr2,KSR2,283455,Biological Process,positive regulation of MAPK cascade,GO:0043410
ksr2,KSR2,283455,Biological Process,protein phosphorylation,GO:0006468
ksr2,KSR2,283455,Biological Process,Ras protein signal transduction,GO:0007265
lamb1,LAMB1,3912,Biological Process,animal organ morphogenesis,GO:0009887
lamb1,LAMB1,3912,Biological Process,axon guidance,GO:0007411
lamb1,LAMB1,3912,Biological Process,basement membrane assembly,GO:0070831
lamb1,LAMB1,3912,Biological Process,biological_process,GO:0008150
lamb1,LAMB1,3912,Biological Process,cell adhesion,GO:0007155
lamb1,LAMB1,3912,Biological Process,cell migration,GO:0016477
lamb1,LAMB1,3912,Biological Process,embryo implantation,GO:0007566
lamb1,LAMB1,3912,Biological Process,endodermal cell differentiation,GO:0035987
lamb1,LAMB1,3912,Biological Process,learning or memory,GO:0007611
lamb1,LAMB1,3912,Biological Process,negative regulation of cell adhesion,GO:0007162
lamb1,LAMB1,3912,Biological Process,neuronal-glial interaction involved in cerebral cortex radial glia guided migration,GO:0021812
lamb1,LAMB1,3912,Biological Process,neuron projection development,GO:0031175
lamb1,LAMB1,3912,Biological Process,odontogenesis,GO:0042476
lamb1,LAMB1,3912,Biological Process,positive regulation of cell adhesion,GO:0045785
lamb1,LAMB1,3912,Biological Process,positive regulation of cell migration,GO:0030335
lamb1,LAMB1,3912,Biological Process,positive regulation of epithelial cell proliferation,GO:0050679
lamb1,LAMB1,3912,Biological Process,positive regulation of integrin-mediated signaling pathway,GO:2001046
lamb1,LAMB1,3912,Biological Process,positive regulation of muscle cell differentiation,GO:0051149
lamb1,LAMB1,3912,Biological Process,regulation of basement membrane organization,GO:0110011
lamb1,LAMB1,3912,Biological Process,substrate adhesion-dependent cell spreading,GO:0034446
lamb1,LAMB1,3912,Biological Process,tissue development,GO:0009888
lamc2,LAMC2,3918,Biological Process,animal organ morphogenesis,GO:0009887
lamc2,LAMC2,3918,Biological Process,basement membrane assembly,GO:0070831
lamc2,LAMC2,3918,Biological Process,biological_process,GO:0008150
lamc2,LAMC2,3918,Biological Process,cell adhesion,GO:0007155
